cocktail_id,cocktail_name,category,alcoholic,glass_type,verification_status,tag_name,tag_category,tag_status,confidence_score,verified_by,verified_username,expertise_level,verified_date,source,notes
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Alcoholic,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,original_dataset,Bulk verified by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,British,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,original_dataset,Bulk verified by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Clear,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,original_dataset,Bulk verified by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Cold,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,original_dataset,Bulk verified by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Evening,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,expert_added,Added by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Gin,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,original_dataset,Bulk verified by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Highball,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,original_dataset,Bulk verified by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,HotWeather,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,expert_added,Added by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Night,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,expert_added,Added by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Romantic,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,expert_added,Added by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Soda,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,original_dataset,Bulk verified by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Stirred,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,original_dataset,Bulk verified by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,SunnyDay,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,expert_added,Added by Rio Anosh
5,AT&T,Ordinary Drink,Alcoholic,Highball Glass,fully_verified,Vodka,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:37,original_dataset,Bulk verified by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Alcoholic,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:58,original_dataset,Bulk verified by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Bitter,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Bold,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Celebratory,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Citrus,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:58,original_dataset,Bulk verified by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,CocktailGlass,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:58,original_dataset,Bulk verified by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Cold,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:58,original_dataset,Bulk verified by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Evening,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Fruit,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:58,original_dataset,Bulk verified by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Fruity,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:58,original_dataset,Bulk verified by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,HotWeather,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,LowlyRefreshing,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,ModerateStrength,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Night,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Shaken,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:58,original_dataset,Bulk verified by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Social,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
7,A. J.,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,SunnyDay,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 16:59,expert_added,Added by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Alcoholic,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Bold,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:15,expert_added,Added by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Caribbean,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,CocktailGlass,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Coffee,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Cold,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Dark,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Egg,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Evening,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:15,expert_added,Added by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Kahlua,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Mild,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,ModerateStrength,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:15,expert_added,Added by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Night,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:15,expert_added,Added by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,RainyDay,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:15,expert_added,Added by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Romantic,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:15,expert_added,Added by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Rum,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
11,Almeria,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Shaken,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:14,original_dataset,Bulk verified by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Afternoon,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:03,expert_added,Added by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Alcoholic,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:02,original_dataset,Bulk verified by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Celebratory,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:03,expert_added,Added by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Citrus,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:02,original_dataset,Bulk verified by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,CocktailGlass,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:02,original_dataset,Bulk verified by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Cold,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:02,original_dataset,Bulk verified by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Evening,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:03,expert_added,Added by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Fruit,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:02,original_dataset,Bulk verified by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Fruity,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:02,original_dataset,Bulk verified by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,ModeratelyRefreshing,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:03,expert_added,Added by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,refreshing,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:03,expert_added,Added by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Shaken,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:02,original_dataset,Bulk verified by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Sour,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:02,original_dataset,Bulk verified by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,SunnyDay,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:03,expert_added,Added by Rio Anosh
15,Applecar,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,TripleSec,,verified,100,Rio Anosh,bartender2,bartender,2026-02-18 17:02,original_dataset,Bulk verified by Rio Anosh
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Afternoon,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:59,expert_added,Added by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Alcoholic,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:58,original_dataset,Bulk verified by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,British,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:58,original_dataset,Bulk verified by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Chocolate,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:58,original_dataset,Bulk verified by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Classic,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:58,original_dataset,Bulk verified by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Clean,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:59,expert_added,Added by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Clear,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:58,original_dataset,Bulk verified by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,CocktailGlass,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:58,original_dataset,Bulk verified by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Cold,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:58,original_dataset,Bulk verified by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,ColdWeather,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:59,expert_added,Added by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Creamy,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:58,original_dataset,Bulk verified by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,Dairy,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:58,original_dataset,Bulk verified by Chathura Maduwantha
18,Alexander,Ordinary Drink,Alcoholic,Cocktail glass,fully_verified,DessertDrink,,verified,100,Chathura Maduwantha,bartender1,bartender,2026-02-18 15:59,expert_added,Added by Chathura Maduwantha
